PUID;Parent;LocalID;TypeGraphics
138;Ids.Track;InstrEtaRteDate;ioTextBlock
145;Ids.Track;InstrEtaRteTime;ioTextBlock
146;Ids.Track;GridTtgWptHeader;ioPanelGrid
147;Ids.Track;LabelTtgWpthHeader;ioLabel
148;Ids.Track;GridDptHeader;ioPanelGrid
149;Ids.Track;LabeDptlDepthHeader;ioLabel
150;Ids.Track;LabelDptHeaderUnit;ioLabel
151;Ids.Track;GridTtgWpt;ioPanelGrid
152;Ids.Track;InstrTtgWpt;ioTextBlock
153;Ids.Track;GridDpt;ioPanelGrid
154;Ids.Track;InstrDpt;ioTextBlock
160;Ids.Controller;ButtonLeftThrust;ioButtonIcon
162;Ids.Controller;InstrThrustCmd;ioTextBlock
163;Ids.Controller;ButtonRightThrust;ioButtonIcon
21;Ids.Controller;RefDrive;ioPanelGrid
23;Ids.Controller;RefAuto;ioPanelGrid
164;Ids.Controller;GridThrustCmdHeader;ioPanelGrid
165;Ids.Controller;LabelThrustCmdHeader;ioLabel
166;Ids.Controller;LabelThrustCmdHeaderUnit;ioLabel
167;Ids.Controller;GridThrustCmd;ioPanelGrid
168;Ids.Controller;ButtonLeftRudder;ioButtonIcon
169;Ids.Controller;GridRudderCmdHeader;ioPanelGrid
170;Ids.Controller;LabelRudderCmdHeader;ioLabel
171;Ids.Controller;LabelRudderCmdHeaderUnit;ioLabel
172;Ids.Controller;GridRudderCmd;ioPanelGrid
173;Ids.Controller;InstrRudderCmd;ioTextBlock
174;Ids.Controller;ButtonRightRudder;ioButtonIcon
5;Ids.Controller;ButtonThrustLeftSmall;ioButtonText
161;Ids.Controller;ButtThrustRightSmall;ioButtonText
175;Ids.Controller;ButtThrustLeftBig;ioButtonText
176;Ids.Controller;ButtThrustMidZero;ioButtonText
177;Ids.Controller;ButtRThrustightBig;ioButtonText
178;Ids.Controller;RefThrust;ioPanelGrid
179;Ids.Controller;ButtWind;ioButtonShape
180;Ids.Controller;ButtThrust;ioButtonShape
181;Ids.Controller;ButtDrive;ioButtonShape
182;Ids.Controller;ButtonRiverefRivertSmall;ioButtonIcon
183;Ids.Controller;GridRiverCmdRot;ioPanelGrid
184;Ids.Controller;LabelRiverCmdRot;ioLabel
185;Ids.Controller;LabelRiverCmdRotUnit;ioLabel
186;Ids.Controller;GridRiverRotCmd;ioPanelGrid
187;Ids.Controller;InstrRiverRotCmd;ioTextBlock
188;Ids.Controller;ButtRiverRightSmall;ioButtonIcon
189;Ids.Controller;ButtRiverLeftBig;ioButtonIcon
190;Ids.Controller;ButtRiverMidZero;ioButtonText
191;Ids.Controller;ButtRiverRightBig;ioButtonIcon
205;Ids.Track;ButtSelectRoute;ioButtonTextFlyout
200;Ids.Track;GridSelectedRte;ioPanelGrid
206;Ids.Track;LabelSelectedRteHeader;ioLabel
207;Ids.Track;TextSelectedRte;ioTextBlock
208;Ids.Track;ButtSelectWaypoint;ioButtonTextFlyout
209;Ids.Track;GridSelectedWpt;ioPanelGrid
210;Ids.Track;LabelSelectedWptHeader;ioLabel
211;Ids.Track;TextSelectedWpt;ioTextBlock
212;Ids.Track;ButtSelectWptPrev;ioButtonText
213;Ids.Track;ButtSelectWptNext;ioButtonText
214;Ids.Track;GridRteFolder;ioPanelGrid
215;Ids.Track;RadioRteFolder;ioRadioButton
216;Ids.Track;CmbRteFolder;ioComboBox
217;Ids.Track;LabelRteFolderHeader;ioLabel
218;Ids.Track;LabelRteSourceHeader;ioLabel
219;Ids.Track;GridRteSource;ioPanelGrid
220;Ids.Track;RadioRteSource;ioRadioButton
221;Ids.Track;CmbRteSource;ioComboBox
